county_fips,target_name,target_value,source_year
001,num_hh_target_by_county,608534,2023
001,tot_pop_target_by_county,1622188,2023
013,num_hh_target_by_county,416172,2023
013,tot_pop_target_by_county,1155025,2023
041,num_hh_target_by_county,101608,2023
041,tot_pop_target_by_county,254407,2023
055,num_hh_target_by_county,51167,2023
055,tot_pop_target_by_county,133216,2023
075,num_hh_target_by_county,372027,2023
075,tot_pop_target_by_county,808988,2023
081,num_hh_target_by_county,265124,2023
081,tot_pop_target_by_county,726353,2023
085,num_hh_target_by_county,665549,2023
085,tot_pop_target_by_county,1877592,2023
095,num_hh_target_by_county,157766,2023
095,tot_pop_target_by_county,449218,2023
097,num_hh_target_by_county,192765,2023
097,tot_pop_target_by_county,481812,2023
